Launching algorithm with 108 blocks and 64 threads
markerMatrix read successfully :)
Converting into CSR ... 
generating input and output vectors for the moltiplication... 
copying data in the CUDA memory... 
performing matrix to vector multiplication...
thread 57 93 on row 281799
thread 58 93 on row 281846
thread 59 93 on row 281893
thread 60 93 on row 281940
thread 61 93 on row 281987
thread 62 93 on row 282034
thread 63 93 on row 282081
thread 32 67 on row 202606
thread 33 67 on row 202653
thread 34 67 on row 202700
thread 35 67 on row 202747
thread 36 67 on row 202794
thread 37 67 on row 202841
thread 38 67 on row 202888
thread 39 67 on row 202935
thread 40 67 on row 202982
thread 41 67 on row 203029
thread 42 67 on row 203076
thread 43 67 on row 203123
thread 44 67 on row 203170
thread 45 67 on row 203217
thread 46 67 on row 203264
thread 47 67 on row 203311
thread 48 67 on row 203358
thread 49 67 on row 203405
thread 50 67 on row 203452
thread 51 67 on row 203499
thread 52 67 on row 203546
thread 53 67 on row 203593
thread 54 67 on row 203640
thread 55 67 on row 203687
thread 56 67 on row 203734
thread 57 67 on row 203781
thread 58 67 on row 203828
thread 59 67 on row 203875
thread 60 67 on row 203922
thread 61 67 on row 203969
thread 62 67 on row 204016
thread 63 67 on row 204063
thread 0 47 on row 141090
thread 1 47 on row 141137
thread 2 47 on row 141184
thread 3 47 on row 141231
thread 4 47 on row 141278
thread 5 47 on row 141325
thread 6 47 on row 141372
thread 7 47 on row 141419
thread 8 47 on row 141466
thread 9 47 on row 141513
thread 10 47 on row 141560
thread 11 47 on row 141607
thread 12 47 on row 141654
thread 13 47 on row 141701
thread 14 47 on row 141748
thread 15 47 on row 141795
thread 16 47 on row 141842
thread 17 47 on row 141889
thread 18 47 on row 141936
thread 19 47 on row 141983
thread 20 47 on row 142030
thread 21 47 on row 142077
thread 22 47 on row 142124
thread 23 47 on row 142171
thread 24 47 on row 142218
thread 25 47 on row 142265
thread 26 47 on row 142312
thread 27 47 on row 142359
thread 28 47 on row 142406
